message_id,student_id,created_at,channel,program,unit_code,week,text,label
45f9d8a0-6dd8-400f-bd74-157a2a481172,S000166,2026-02-01T09:45:00+00:00,lms_forum,Diploma (Community Services),DAT690,5,How do I join a group for the group project?,0
6ca62614-1428-42a7-99f4-82c0f695308a,S000087,2026-02-01T12:37:00+00:00,support_ticket,Bachelor (Business),EDU265,2,I’m enjoying the unit so far—thanks for the clear explanations.,0
7878827b-706f-47a1-be9d-e8ce3610e436,S000009,2026-02-01T15:52:00+00:00,lms_forum,Bachelor (IT),IT158,9,Do we need APA 7th for assignment 2?,0
d6167a91-af17-4f55-ba68-245f5413a726,S000164,2026-02-01T18:53:00+00:00,lms_forum,Graduate Certificate (Data),BUS670,2,Do we need APA 7th for quiz 2?,0
361ef69a-caba-4984-b66c-e7d03bdbfe8a,S000034,2026-02-01T21:47:00+00:00,lms_forum,Graduate Certificate (Data),COM602,10,How do I join a group for the group project?,0
e2b16b4d-9c6b-46e4-a373-630d399e2ab1,S000176,2026-02-02T00:06:00+00:00,lms_forum,Adult Education (Short Course),COM689,7,I failed to attach my file last time; can I resubmit the correct document?,0
7c20bfd2-f945-4f67-9b80-5ba1ac40fd0f,S000082,2026-02-02T03:30:00+00:00,email,Adult Education (Short Course),CYS693,6,I’m overwhelmed by the workload and I’m not sure I should continue this unit.,1
45fdb539-333b-4f43-a1bd-7f2c7c5cd15e,S000194,2026-02-02T06:34:00+00:00,email,Bachelor (IT),COM267,11,I’ve missed two deadlines and I’m worried I’m going to fail. What are my options from here?,1
e0f9c9a8-4893-474a-888f-66994cd05587,S000175,2026-02-02T09:52:00+00:00,support_ticket,Adult Education (Short Course),COM451,5,Is there a recording for this week’s lecture?,0
1e8047fe-4b23-4e7f-a87d-ac62cb8af5db,S000178,2026-02-02T12:11:00+00:00,email,Bachelor (Business),CYS136,2,I’ve missed two deadlines and I’m worried I’m going to fail. What are my options from here?,1
